species,morphotype,full_name
act, E, actinia
ala, F, alata
ame, D, amethystina
bif, B, biflora
cae, C, caerulea
cap, B, capsularis
cin, C, cincinnata
coc, G, coccinea
cor, A, coriacea
cri, G, cristalina
edm, C, edmundoi
edu, F, edulis
foe, D, foetida
gal, G, galbana
gib, C, gibertii
gra, D, gracilis
hat, C, hatschbachii
ker, C, kermesina
lig, F, ligularis
maf, G, maliformis
mal, G, malacophylla
mic, B, micropetala
mie, E, miersii
min, G, miniata
mis, A, misera
mol, C, mollissima
mor, D, morifolia
muc, G, mucronata
nit, F, nitida
org, B, organensis
poh, B, pohlii
rac, F, racemosa
rub, B, rubra
set, C, setacea
sid, E, sidifolia
sub, C, suberosa
ten, C, tenuifila
tlo, E, triloba
tri, B, tricuspis
vil, F, villosa